SITE_CODE,TOP_PRF_INT,BOT_PRF_INT
340666N1173040W001,480,510
340666N1173040W001,542,554
340666N1173040W001,560,574
340666N1173040W001,580,596
340672N1173970W001,400,674
340678N1179748W001,825,875
340682N1175896W001,370,903
340697N1180843W001,233,260
340712N1179435W001,1045,1095
340716N1172869W001,70,157
340716N1172869W001,265,328
340716N1172869W001,429,506
340716N1172869W001,537,556
340716N1172869W001,585,591
340716N1172869W001,636,652
340716N1172869W001,740,746
340716N1172869W001,758,808
340716N1172869W001,822,941
340716N1172869W001,957,988
340777N1176616W001,342,476
340777N1176616W001,601,649
340777N1176616W001,696,722
340808N1171475W001,240,564
340814N1177075W001,182,238
340814N1177075W001,266,318
340814N1177075W001,392,448
340816N1177450W001,412,694
340818N1180006W001,40,295
340845N1175849W001,341,363
340845N1175849W001,383,405
340845N1175849W001,432,442
340845N1175849W001,589,604
340845N1175849W001,623,635
340845N1175849W001,703,715
340845N1175849W001,741,810
340847N1173314W001,112,194
340847N1173314W001,198,263
340847N1173314W001,276,282
340847N1173314W001,290,326
340876N1176417W001,445,874
340925N1181304W001,384,394
340927N1171542W001,215,245
340927N1171542W001,340,410
340928N1179439W001,210,231
340931N1179615W001,180,284
340933N1179938W001,40,295
340935N1174885W001,378,810
340939N1178727W001,335,434
340940N1174666W001,380,420
340940N1174666W001,424,462
340940N1174666W001,468,789
340940N1174666W001,802,854
340956N1191087W001,525,565
340956N1191087W002,200,220
340959N1173567W001,198,464
340963N1171821W001,340,1210
340998N1179833W001,60,345
341006N1177096W001,400,490
341019N1177576W001,282,910
341034N1177713W001,424,715
341039N1177292W001,236,304
341039N1177292W001,342,412
341039N1177292W001,418,428
341039N1177292W001,433,487
341039N1177292W001,490,495
341039N1177292W001,502,509
341040N1171337W001,260,285
341040N1171337W001,305,330
341040N1171337W001,415,440
341040N1171337W001,465,490
341070N1179746W001,100,395
341074N1179660W001,270,430
341078N1182518W001,40,205
341116N1179695W001,100,395
341137N1174361W001,650,860
